Date,HT,AT,HS,AS
31/7/2009,O'Higgins,Universidad de Concepcion,0,2
1/8/2009,Huachipato,Santiago Morning,0,1
1/8/2009,Palestino,Iquique,1,1
1/8/2009,Universidad de Chile,Unión Española,2,1
2/8/2009,Cobreloa,Cobresal,0,1
2/8/2009,Colo Colo,Audax Italiano,0,1
2/8/2009,La Serena,Curicó,2,0
2/8/2009,Ñublense,Universidad Catolica,0,0
2/8/2009,Rangers,Everton,0,2
7/8/2009,Universidad de Chile,Curicó,1,1
8/8/2009,Huachipato,La Serena,2,0
8/8/2009,Palestino,Cobreloa,2,1
8/8/2009,Santiago Morning,Colo Colo,2,1
8/8/2009,Universidad Catolica,O'Higgins,0,0
8/8/2009,Everton,Ñublense,1,0
9/8/2009,Audax Italiano,Universidad de Concepcion,2,1
9/8/2009,Cobresal,Rangers,2,0
9/8/2009,Iquique,Unión Española,3,4
15/8/2009,Iquique,Universidad de Chile,0,2
15/8/2009,Universidad de Concepcion,Santiago Morning,2,1
16/8/2009,Cobresal,Ñublense,0,0
16/8/2009,Colo Colo,Rangers,3,0
16/8/2009,Curicó,Palestino,2,1
16/8/2009,La Serena,Cobreloa,4,2
16/8/2009,Universidad Catolica,Huachipato,3,1
6/9/2009,Unión Española,Audax Italiano,2,4
6/9/2009,Everton,O'Higgins,1,1
21/8/2009,Audax Italiano,Curicó,1,1
22/8/2009,O'Higgins,Colo Colo,2,2
22/8/2009,Palestino,Unión Española,3,3
22/8/2009,Huachipato,Cobresal,2,1
23/8/2009,Cobreloa,Universidad Catolica,0,2
23/8/2009,Ñublense,La Serena,1,0
23/8/2009,Santiago Morning,Iquique,3,2
23/8/2009,Universidad de Chile,Everton,1,1
6/9/2009,Rangers,Universidad de Concepcion,1,1
28/8/2009,Everton,La Serena,0,1
29/8/2009,Universidad Catolica,Colo Colo,2,1
29/8/2009,Universidad de Concepcion,Palestino,2,0
29/8/2009,Unión Española,Cobreloa,2,0
30/8/2009,Cobresal,Santiago Morning,3,1
30/8/2009,Iquique,Ñublense,1,3
30/8/2009,O'Higgins,Huachipato,2,1
30/8/2009,Rangers,Curicó,0,0
30/8/2009,Universidad de Chile,Audax Italiano,3,2
12/9/2009,Everton,Universidad Catolica,1,1
12/9/2009,Huachipato,Rangers,0,3
12/9/2009,La Serena,Universidad de Concepcion,0,1
12/9/2009,Ñublense,Universidad de Chile,0,2
12/9/2009,Palestino,Santiago Morning,0,1
13/9/2009,Audax Italiano,Iquique,2,0
13/9/2009,Cobreloa,O'Higgins,5,1
13/9/2009,Colo Colo,Unión Española,1,1
